fast_ma,slow_ma,sharpe,n_trades,min_holding_days,max_holding_days
5,10,1.4321370644826645,471,1,42
5,20,1.1844767442792639,270,1,102
5,35,0.9918315509165702,190,1,157
5,50,0.9675581062876547,152,1,168
5,100,0.7510820647306925,102,1,254
10,20,0.6884340833252952,241,1,124
10,35,0.4570617751707405,159,1,160
10,50,0.496658501210438,122,1,171
10,100,0.48954311134298534,70,1,252
20,35,0.3864002496985063,144,1,168
20,50,0.27177287917847365,100,1,231
20,100,0.2511175497544823,58,3,249
35,50,0.2605846391972816,107,1,170
35,100,0.27338070106072726,54,2,295
50,100,0.2186947222626162,52,1,366
